country,overall_score
Afghanistan,28.8
Albania,45
Algeria,26.2
Andorra,34.7
Angola,29.1
Antigua and Barbuda,30
Argentina,54.4
Armenia,61.8
Australia,71.1
Austria,56.9
Azerbaijan,34.7
Bahamas,30.1
Bahrain,36.3
Bangladesh,35.5
Barbados,34.9
Belarus,43.9
Belgium,59.3
Belize,29.7
Benin,25.4
Bhutan,39.8
Bolivia,29.9
Bosnia,35.4
Botswana,33.6
Brazil,51.2
Brunei Darussalam,43.5
Bulgaria,59.9
Burkina Faso,29.8
Burundi,22.1
Côte d'Ivoire,31.2
Cabo Verde,34.1
Cambodia,31.1
Cameroon,28.6
Canada,69.8
Central African Rep.,18.6
Chad,23.9
Chile,56.2
China,47.5
Colombia,53.2
Comoros,24.9
Congo,26.3
Cook Islands,23.9
Costa Rica,40.8
Croatia,48.8
Cuba,30.5
Cyprus,41.9
Czechia,52.8
Democratic People's Republic of Korea,16.1
Dem. Rep. Congo,26.1
Denmark,64.4
Djibouti,25.2
Dominica,26.4
Dominican Republic,34.5
Ecuador,50.8
Egypt,28
El Salvador,40.8
Equatorial Guinea,17.4
Eritrea,21.4
Estonia,55.5
Eswatini,29.3
Ethiopia,37.8
Fiji,25.8
Finland,70.9
France,61.9
Gabon,21.8
Gambia,28.7
Georgia,52.6
Germany,65.5
Ghana,34.3
Greece,51.5
Grenada,26.7
Guatemala,29.1
Guinea,26.8
Guinea-Bissau,21.4
Guyana,30.8
Haiti,30.4
Honduras,26.2
Hungary,54.4
Iceland,48.5
India,42.8
Indonesia,50.4
Iran,36.5
Iraq,24
Ireland,55.3
Israel,47.2
Italy,51.9
Jamaica,31.8
Japan,60.5
Jordan,42.8
Kazakhstan,46.1
Kenya,38.8
Kiribati,26.2
Kuwait,36.8
Kyrgyzstan,42.4
Lao People's Democratic Republic,34.8
Latvia,61.9
Lebanon,33.4
Lesotho,30.9
Liberia,35.7
Libya,25.3
Liechtenstein,46.4
Lithuania,59.5
Luxembourg,48.4
Madagascar,30.4
Malawi,28.5
Malaysia,56.4
Maldives,32
Mali,29
Malta,40.2
Marshall Islands,24.6
Mauritania,26.2
Mauritius,39.7
Mexico,57
Micronesia (Federated States of),28.5
Monaco,33.3
Mongolia,41
Montenegro,44.1
Morocco,33.6
Mozambique,30.4
Myanmar,38.3
Namibia,30.3
Nauru,18
Nepal,34
Netherlands,64.7
New Zealand,62.5
Nicaragua,36.3
Niger,28.7
Nigeria,38
Niue,20.1
North Macedonia,42.2
Norway,60.2
Oman,39.1
Pakistan,30.4
Palau,25.5
Panama,53.5
Papua New Guinea,25
Paraguay,40.3
Peru,54.9
Philippines,45.7
Poland,55.7
Portugal,54.7
Qatar,48.7
Republic of Korea,65.4
Republic of Moldova,41
Romania,45.7
Russia,49.1
Rwanda,33.1
Saint Kitts and Nevis,31.7
Saint Lucia,34.7
Saint Vincent and the Grenadines,33.5
Samoa,28.8
San Marino,32.9
Sao Tome and Principe,26.6
Saudi Arabia,44.9
Senegal,32.8
Serbia,45
Seychelles,31.8
Sierra Leone,32.7
Singapore,57.4
Slovakia,54.4
Slovenia,67.8
Solomon Islands,23.3
Somalia,16
South Africa,45.8
S. Sudan,21.3
Spain,60.9
Sri Lanka,34.1
Sudan,28.3
Suriname,35
Sweden,64.9
Switzerland,58.8
Syrian Arab Republic,16.7
Tajikistan,29.3
Thailand,68.2
Timor-Leste,27.8
Togo,27.8
Tonga,26.4
Trinidad and Tobago,36.8
Tunisia,31.5
Turkey,50
Turkmenistan,31.9
Tuvalu,20
Uganda,36.5
Ukraine,38.9
United Arab Emirates,39.6
United Kingdom,67.2
Tanzania,31.3
United States of America,75.9
Uruguay,40.3
Uzbekistan,39
Vanuatu,25.9
Venezuela,20.9
Viet Nam,42.9
Yemen,16.1
Zambia,26.5
Zimbabwe,32.4
